ACCIDENT_NO,LATITUDE,LONGITUDE,LOCATION
T20220001012,-37.690734,144.971963,HUME
T20220000976,-38.073364,144.363389,GREATER GEELONG
T20220005849,-37.591024,144.182479,MOORABOOL
T20220001015,-37.80983,144.978332,MELBOURNE
T20220001011,-37.82841,144.947927,PORT PHILLIP
T20220000984,-37.754278,145.066853,BANYULE
T20220001508,-38.372988,144.824287,MORNINGTON PENINSULA
T20220000989,-37.870658,145.00861,GLEN EIRA
T20220001556,-37.816814,144.850051,HOBSONS BAY
T20220001888,-38.370289,144.908636,MORNINGTON PENINSULA
T20220016960,-37.700199,144.924153,MERRI-BEK
T20220001059,-37.657727,144.230492,MOORABOOL
T20220001054,-37.762176,145.356355,YARRA RANGES
T20220001049,-37.347761,144.781483,MACEDON RANGES
T20220001193,-38.088032,145.501897,CARDINIA
T20220001421,-37.798398,145.253149,MAROONDAH
T20220001078,-37.874432,144.77943,HOBSONS BAY
T20220001086,-37.033432,143.751235,CENTRAL GOLDFIELDS
T20220001090,-37.791729,144.891307,MARIBYRNONG
T20220001065,-37.779622,144.99695,DAREBIN
T20220001069,-37.97149,145.186258,GREATER DANDENONG
T20220001068,-37.549683,143.85702,BALLARAT
T20220005502,-37.800557,145.263455,MAROONDAH
T20220001062,-37.912847,145.124556,MONASH
T20220001060,-38.063739,147.084551,WELLINGTON
T20220001046,-37.967244,145.057688,KINGSTON
T20220001047,-37.745853,144.92611,MOONEE VALLEY
T20220001094,-37.888565,145.294865,KNOX
T20220001096,-37.764828,144.943766,MERRI-BEK
T20220001077,-37.980426,145.127554,KINGSTON
T20220001081,-37.811199,145.007033,YARRA
T20220001091,-38.381218,143.257852,CORANGAMITE
T20220001071,-38.617423,142.95141,CORANGAMITE
T20220001813,-37.861975,145.067428,BOROONDARA
T20220001135,-37.19126,145.721923,MURRINDINDI
T20220001132,-37.911252,145.122327,MONASH
T20220001039,-37.752406,145.174357,MANNINGHAM
T20220001127,-37.777661,144.833371,BRIMBANK
T20220001035,-36.238879,145.506875,GREATER SHEPPARTON
T20220001032,-37.951406,145.149812,GREATER DANDENONG
T20220001111,-38.064353,145.301077,CASEY
T20220001110,-36.715561,146.942458,ALPINE
T20220001025,-38.148528,144.358629,GREATER GEELONG
T20220001085,-37.867169,144.981225,PORT PHILLIP
T20220001033,-37.706974,145.027837,DAREBIN
T20220003003,-37.81368,145.124774,WHITEHORSE
T20220001021,-37.853618,147.605601,EAST GIPPSLAND
T20220001020,-38.036849,145.247717,CASEY
T20220006695,-37.779111,144.997044,DAREBIN
T20220001058,-37.692191,144.949059,HUME
T20220001018,-37.908089,144.636116,WYNDHAM
T20220001164,-37.914457,145.127404,MONASH
T20220001162,-37.896844,145.104243,MONASH
T20220001160,-38.281771,143.507919,COLAC OTWAY
