ACCIDENT_NO,LATITUDE,LONGITUDE
T20220001432,-38.217015,145.401973
T20220001396,-38.514663,145.354086
T20220001400,-37.921633,145.186338
T20220001496,-37.644474,145.064077
T20220001638,-38.164373,145.183245
T20220001477,-37.75956,141.047175
T20220001410,-37.989019,145.060464
T20220001439,-37.735393,145.058233
T20220004563,-36.799625,144.345032
T20220001655,-37.335881,145.027304
T20220001434,-38.182446,144.344731
T20220001427,-37.781399,144.754778
T20220001406,-37.76941,145.230371
T20220002111,-37.695017,147.59699
T20220001425,-37.152538,145.651155
T20220002342,-38.118676,145.326631
T20220002208,-37.852889,145.268543
T20220002733,-36.39904,145.412173
T20220001401,-38.394168,143.285742
T20220001393,-38.169055,144.385791
T20220001440,-37.687066,145.067692
T20220001467,-37.833732,144.912762
T20220004083,-37.933169,145.036374
T20220001476,-37.871345,144.773027
T20220001486,-37.755012,144.917782
T20220002376,-37.950733,145.152578
T20220001520,-38.120941,145.345992
T20220001518,-37.837886,144.884261
T20220001516,-37.805232,144.969198
T20220001512,-37.802404,144.983677
T20220001509,-38.079994,145.25813
T20220001507,-37.934006,145.041862
T20220001506,-37.819179,145.150006
T20220001499,-37.983091,146.887783
T20220001498,-37.650654,145.01112
T20220001497,-36.552217,146.709515
T20220003502,-37.747893,144.830516
T20220001738,-37.944968,145.006292
T20220001547,-38.367188,144.861838
T20220001545,-37.968378,145.20095
T20220001542,-37.875633,144.979588
T20220001539,-37.707879,144.997673
T20220001534,-38.03008,145.192014
T20220001854,-37.89786,145.007692
T20220001531,-37.687078,144.926662
T20220001525,-37.680733,144.421204
T20220001523,-37.514829,147.291003
T20220001855,-37.73292,144.924
T20220005430,-37.794074,144.869489
T20220007115,-37.75338,144.945766
T20220001657,-36.627271,145.471317
T20220001526,-37.560257,143.94905
T20220002103,-37.827436,144.9628
T20220001610,-37.692156,144.949725
T20220002125,-37.854659,145.052259
T20220003429,-37.889211,144.771309
T20220003352,-37.620756,145.005234
T20220001571,-37.558111,143.824695
T20220019741,-36.763637,144.282903
T20220001594,-37.788649,144.99087
T20220001588,-36.07301,144.598077
T20220001628,-37.897757,145.263328
T20220001595,-38.092593,145.360446
T20220001625,-37.60663,145.012246
T20220001623,-37.940369,145.116777
T20220001622,-37.965665,145.057795
T20220001621,-37.991416,145.042353
T20220001619,-37.647444,144.984789
T20220001617,-38.082041,145.353489
T20220001558,-37.557945,144.706343
T20220001576,-37.796368,144.888589
T20220001564,-37.73079,147.78701
T20220001582,-37.832107,145.242755
T20220003328,-37.628553,144.948752
T20220007178,-37.744657,144.939168
T20220001553,-38.275788,144.50406
T20220001552,-37.474817,143.8345
T20220001597,-37.787114,144.770691
T20220001598,-37.735242,145.024223
T20220001649,-37.875269,145.260277
T20220001603,-37.825933,145.287588
T20220001634,-37.719446,144.993233
T20220002278,-37.80677,144.818564
T20220001648,-37.987559,145.117871
T20220001605,-38.057468,145.262388
T20220001606,-37.724559,144.665742
T20220001607,-37.814486,145.095001
T20220001736,-38.010944,145.140852
T20220001551,-38.098805,146.306088
T20220001586,-37.607867,144.8841
T20220001585,-38.172879,144.321563
T20220001746,-37.701584,144.964663
T20220001991,-37.473568,144.972503
T20220001612,-37.881427,145.034597
T20220001614,-37.883324,145.089967
T20220001616,-37.88349,145.09008
T20220001810,-37.801176,144.956746
T20220001544,-37.959419,145.112772
T20220009212,-38.201173,144.326659
T20220001581,-37.800546,144.992869
T20220005278,-38.033138,145.180017
T20220001639,-37.810317,144.961359
T20220001567,-37.901303,144.762005
T20220001566,-38.039609,145.360339
T20220001565,-38.357978,141.613359
