ACCIDENT_NO,LATITUDE,LONGITUDE
T20220023161,-37.682348,144.919316
T20220023390,-37.674171,145.070516
T20220023337,-37.815759,145.230612
T20220023279,-37.83058,144.813666
T20220023160,-37.635863,144.889004
T20220023156,-37.80114,144.951468
T20220023260,-37.926795,145.23338
T20220023094,-37.96535,145.13485
T20220023095,-37.779111,144.997044
T20220023099,-37.992782,145.118271
T20220023100,-37.934566,145.000202
T20220023102,-38.430558,145.502441
T20220023103,-37.684562,145.068629
T20220023107,-37.786265,144.808321
T20220023150,-37.726496,145.378219
T20220023125,-37.8936,145.092186
T20220023149,-37.884358,145.061293
T20220023124,-38.198006,146.31283
T20220023123,-37.822918,144.971421
T20220023147,-37.800831,144.799733
T20220023122,-37.85182,144.993373
T20220023175,-36.706913,145.200702
T20220023177,-37.882713,145.090283
T20220023186,-37.825552,144.94471
T20220023132,-38.098288,145.175017
T20220023128,-38.611456,145.632844
T20220023115,-37.807104,144.903293
T20240004615,-37.837399,144.979258
T20220023118,-38.009356,145.301033
T20230023769,-36.39992,145.411448
T20220023140,-37.535656,144.905544
T20220023142,-37.81613,145.0205
T20220023145,-37.83659,145.196067
T20220023088,-37.864995,145.237386
T20220023217,-36.495323,146.120313
T20220023162,-37.811299,145.008055
T20220023163,-37.920171,145.083176
T20220023165,-37.852164,145.135973
T20220023585,-37.796376,144.939968
T20220023166,-37.823332,144.97853
T20230004014,-36.9146,145.144118
T20220023567,-36.702623,142.198911
T20220023577,-37.787596,144.8917
T20220024742,-37.792982,144.895459
T20220024738,-38.107105,145.233546
T20220023120,-38.453228,145.238975
T20220023604,-36.61636,144.512478
T20220024616,-37.799547,144.862107
T20220023092,-37.823657,145.095969
T20220023925,-37.788649,144.99087
T20220023867,-38.395231,145.88279
T20230012658,-37.860295,144.984415
T20220023203,-37.85719,144.880608
T20220023204,-37.875213,144.73756
T20220023201,-37.696052,145.05935
T20220023207,-38.034099,145.305431
T20220023303,-37.872739,144.723455
T20220023214,-37.607316,145.125067
T20220023187,-37.85719,144.880608
T20220023436,-36.526732,146.734363
T20220023357,-37.807113,144.959884
T20220023215,-37.10164,144.966699
T20220026624,-36.992852,144.131711
T20220024206,-37.881758,145.102446
T20220026446,-37.744233,144.799942
T20220023197,-36.091426,146.705884
T20220024907,-38.082282,145.27649
T20220025474,-37.765731,145.022719
T20220023181,-37.640276,145.054367
T20220023246,-34.275574,141.305979
T20220023243,-37.582061,143.838941
T20220023241,-37.919697,145.13951
T20220023237,-37.946599,145.145672
T20220023232,-37.832901,144.913729
T20220023228,-37.871163,145.016059
T20220029292,-37.785866,145.381855
T20220024657,-37.997585,145.162225
T20220023225,-37.790324,144.419592
T20220023223,-38.037245,144.173889
T20220023295,-37.853102,144.979289
T20220023294,-37.769942,144.900299
T20220023306,-37.843959,144.740336
T20220023274,-36.038417,145.478485
T20220023273,-37.489755,144.472899
T20220023285,-37.861744,144.68578
T20220023304,-37.036651,143.732539
T20220023299,-37.815226,145.084115
T20220023248,-38.142624,145.848544
T20220023298,-36.225435,144.589956
T20220023342,-37.753356,144.739939
T20220024078,-37.829244,144.920301
T20220023318,-37.989295,145.209086
T20220023540,-37.246978,144.622931
T20220023310,-38.185987,142.421074
T20220024230,-37.75594,144.926098
T20220025455,-37.910555,145.221399
T20230001456,-38.086904,145.313295
T20220023296,-38.08276,145.752587
T20220023309,-36.7653,144.273072
T20220023308,-38.090053,142.89044
T20220023262,-38.373685,142.477623
T20220023684,-37.876843,145.128848
T20220023267,-34.219578,142.130959
T20220023271,-37.633546,145.020496
T20220023252,-38.367206,143.944227
T20220023324,-37.583508,144.943926
T20220023944,-37.999222,145.284901
T20220023369,-37.281381,144.950021
T20220023368,-37.789712,144.971402
T20220023416,-37.800855,144.992817
T20220023334,-37.80611,144.980613
T20220023377,-37.001314,147.547965
T20220023336,-37.834146,144.982524
T20220023338,-38.071779,145.195216
T20220023339,-37.414907,143.907902
T20220024951,-37.686694,144.882879
T20220024956,-37.946756,145.055341
T20230006117,-36.781249,144.26012
T20220025978,-37.548156,144.943986
T20220023398,-37.067035,142.768783
T20220023780,-37.68925,145.132562
T20220023321,-37.729791,144.74506
T20220024733,-38.24588,145.170455
T20220023320,-37.282479,142.931803
T20220027048,-38.473372,145.023195
T20220023313,-37.837258,144.978167
T20220023396,-37.756987,145.254385
T20220023378,-38.211931,145.472582
T20220023400,-37.580616,144.896037
T20220023379,-37.67445,144.921568
T20220023388,-37.999188,145.284661
T20220023632,-38.269513,145.035386
T20220023391,-38.068598,145.267935
T20220023359,-37.92709,144.704056
T20220023392,-37.80755,145.03673
T20220023358,-37.893969,145.13987
T20220023356,-37.778167,145.458459
T20220023393,-38.100006,145.26724
T20220023395,-38.026235,145.247068
T20220023354,-37.794834,145.242769
T20220023349,-38.085373,147.000304
T20220023408,-37.650556,144.566875
T20220023347,-37.852106,145.05232
T20220026121,-37.764691,144.741349
T20220023363,-37.885306,145.098742
T20220023636,-38.092574,145.15251
T20220023344,-37.701862,144.883678
T20220023409,-37.862711,144.813782
T20220023438,-37.581097,143.84607
T20220023432,-37.565904,143.854019
T20220023375,-37.482296,149.180379
T20220025349,-37.870448,144.988692
T20220023371,-37.89284,145.127662
T20220023939,-37.747163,145.021823
T20220025965,-37.810127,144.969656
T20220025953,-37.628119,144.913238
T20220023950,-37.813922,145.000025
T20220023481,-38.111835,145.283103
T20220023475,-38.037344,145.30479
T20220023458,-37.955712,145.226375
T20220023461,-37.914333,145.121807
T20220023500,-37.882986,144.681903
T20220023442,-38.208212,146.118288
T20220023415,-37.746391,145.047027
T20220023503,-36.600834,143.229908
T20220023505,-37.723414,145.13644
T20220024520,-38.195794,145.160736
T20220023477,-38.062417,145.938787
T20220023422,-37.621311,145.01175
T20220023439,-38.238616,146.449697
T20220023480,-37.743163,144.933521
T20220025065,-37.687066,145.067692
T20220023550,-38.049133,144.172647
T20220025893,-38.011963,145.255099
T20220023433,-38.204175,146.073151
T20220024023,-37.70483,144.915807
T20220023468,-37.918344,145.442029
T20220024380,-37.971025,145.223567
T20220023455,-37.372151,144.966504
T20220023428,-35.874068,144.311814
T20220023412,-37.729119,145.079575
T20220023423,-37.806086,145.401753
T20220023470,-37.825503,145.093529
T20220023491,-38.234176,143.146934
T20220023493,-37.79854,144.771382
T20220023474,-38.098372,145.28302
T20220023463,-37.662666,144.922653
T20220023496,-37.798946,144.746566
